name,price,reviews,reviewScore,copiesSold,publishers,avg_publisher_copies,year,season,years_since_release,popularity,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy
STAR WARS™: The Old Republic™,0.0,61722,90,3565446,Electronic Arts,1221779.0483870967,2020,Summer,4,4,0,0,0,0,1,0,1,1,0,0,0,0
Crusader Kings III,49.99,99754,92,2483771,Paradox Interactive,1036797.0,2020,Fall,4,4,0,0,0,0,0,0,0,1,0,1,0,1
Half-Life: Alyx,59.99,84732,98,1986703,Valve,2727962.84,2020,Spring,4,4,1,1,0,0,0,0,0,0,0,0,0,0
NieR:Automata™,39.99,121866,86,2945349,Square Enix,733116.220338983,2017,Spring,7,4,1,0,0,0,0,0,0,1,0,0,0,0
V Rising,34.99,83596,89,4739489,Stunlock Studios,2891558.5,2024,Spring,0,4,1,1,0,0,0,0,1,0,0,0,0,0
Star Trek Online,0.0,19290,79,1537145,Arc Games,1540695.5,2012,Winter,12,4,0,0,0,0,1,0,1,1,0,0,0,0
Euro Truck Simulator 2,19.99,682283,98,17821049,SCS Software,5774093.0,2012,Fall,12,4,0,0,0,0,0,1,0,0,0,1,0,0
PAYDAY 2,9.99,639641,89,17344819,Starbreeze Publishing AB,17344819.0,2013,Summer,11,4,1,0,0,0,0,0,0,1,0,0,0,0
DOOM,19.99,183161,95,5184951,Bethesda Softworks,1513561.1956521738,2016,Spring,8,4,1,0,0,0,0,0,0,0,0,0,0,0
Marvel’s Spider-Man Remastered,59.99,85397,96,1970018,PlayStation Publishing LLC,966504.6153846154,2022,Summer,2,4,1,1,1,0,0,0,0,0,0,0,0,0
Farming Simulator 22,29.99,60605,92,2585696,Giants Software,1449093.5,2021,Fall,3,4,0,0,0,0,0,0,0,0,0,1,0,0
Street Fighter™ 6,59.99,31904,88,1667267,"CAPCOM Co., Ltd.",1327660.2857142857,2023,Summer,1,4,1,1,0,0,0,0,0,0,0,0,0,0
Call of Duty®: Modern Warfare® III,69.99,9985,32,1334592,Activision,921898.9310344828,2023,Fall,1,4,1,0,0,0,0,0,0,0,0,0,0,0
Devil May Cry 5,29.99,113939,96,3571272,"CAPCOM Co., Ltd.",1327660.2857142857,2019,Spring,5,4,1,0,0,0,0,0,0,0,0,0,0,0
Need for Speed™ Heat,69.99,98867,83,5742816,Electronic Arts,1221779.0483870967,2020,Summer,4,4,1,1,0,0,0,0,0,0,1,0,1,0
Human Fall Flat,19.99,192764,95,14234054,Curve Games,1381695.9285714286,2016,Summer,8,4,0,1,1,0,0,1,0,0,0,1,0,0
Planet Zoo,44.99,74489,91,2948185,Frontier Developments,1882492.6,2019,Fall,5,4,0,0,1,0,0,0,0,0,0,1,0,1
God of War,49.99,116532,97,2539939,PlayStation Publishing LLC,966504.6153846154,2022,Winter,2,4,1,1,0,0,0,0,0,1,0,0,0,0
Cuphead,19.99,149248,97,5148982,Studio MDHR Entertainment Inc.,5148982.0,2017,Fall,7,4,1,0,0,0,0,1,0,0,0,0,0,0
Total War: THREE KINGDOMS,59.99,82897,83,1980554,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",1860733.111111111,2019,Spring,5,4,1,0,0,0,0,0,0,0,0,0,0,1
METAL GEAR SOLID V: THE PHANTOM PAIN,19.99,87452,91,2858129,KONAMI,1196084.5384615385,2015,Fall,9,4,1,1,0,0,0,0,0,0,0,0,0,0
DAVE THE DIVER,19.99,98540,98,4686591,MINTROCKET,4686591.0,2023,Summer,1,4,0,1,1,0,0,0,0,1,0,1,0,0
Total War: WARHAMMER II,59.99,117362,93,2456100,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",1860733.111111111,2017,Fall,7,4,1,0,0,0,0,0,0,0,0,0,0,1
Tom Clancy’s The Division™,29.99,89066,70,2726661,Ubisoft,914871.4875,2016,Spring,8,4,1,1,0,0,0,0,0,1,0,0,0,0
Assetto Corsa,19.99,111587,93,6244441,Kunos Simulazioni,6244441.0,2014,Winter,10,4,0,0,0,0,0,1,0,0,1,1,1,0
Middle-earth™: Shadow of War™,49.99,92447,88,4020417,WB Games,2173685.875,2017,Fall,7,4,1,1,0,0,0,0,0,1,0,0,0,0
Resident Evil 2,39.99,144908,97,3396538,"CAPCOM Co., Ltd.",1327660.2857142857,2019,Winter,5,4,1,0,0,0,0,0,0,0,0,0,0,0
Watch_Dogs® 2,49.99,69166,83,3660960,Ubisoft,914871.4875,2016,Fall,8,4,1,1,0,0,0,0,0,0,0,0,0,0
Yu-Gi-Oh! Duel Links,0.0,42297,84,4184830,KONAMI,1196084.5384615385,2017,Fall,7,4,0,0,0,0,1,0,0,0,0,0,0,1
MONSTER HUNTER RISE,39.99,83322,86,3244540,"CAPCOM Co., Ltd.",1327660.2857142857,2022,Winter,2,4,1,0,0,0,0,0,0,0,0,0,0,0
Borderlands 2,39.99,269299,95,10447252,"2K, Aspyr (Mac), Aspyr (Linux)",5739552.5,2012,Fall,12,4,1,0,0,0,0,0,0,1,0,0,0,0
